Name,Betreiber1,Betreiber2,n_Anlagen,KW,Type,Jahr,Lat,Long,url,Hersteller,Nabenhoehe,Rotordurchmesser,Name_Save,Park,id,quality
"Haindorf,_Anlage 1",-,---,2,1800,E66 18.70,2000,48.169544,15.464329,-,Enercon,65,70,"Haindorf, Anlage 1",Haindorf,1,95
"Haindorf,_Anlage 2",-,---,2,1800,E66 18.70,2000,48.171287,15.462982,-,Enercon,65,70,"Haindorf, Anlage 2",Haindorf,2,99
"Bruck/Leitha,_Anlage 1",-,---,5,1800,E66 18.7,2000,48.037350000000004,16.72582,-,Enercon,65,70,"Bruck/Leitha, Anlage 1",BruckLeitha,3,100
"Bruck/Leitha,_Anlage 2",-,---,5,1800,E66 18.7,2000,48.03368,16.7265,-,Enercon,65,70,"Bruck/Leitha, Anlage 2",BruckLeitha,4,100
"Bruck/Leitha,_Anlage 3",-,---,5,1800,E66 18.7,2000,48.03288,16.73242,-,Enercon,65,70,"Bruck/Leitha, Anlage 3",BruckLeitha,5,100
"Bruck/Leitha,_Anlage 4",-,---,5,1800,E66 18.7,2000,48.03012,16.72599,-,Enercon,65,70,"Bruck/Leitha, Anlage 4",BruckLeitha,6,100
"Bruck/Leitha,_Anlage 5",-,---,5,1800,E66 18.7,2000,48.03672,16.71981,-,Enercon,65,70,"Bruck/Leitha, Anlage 5",BruckLeitha,7,95
"Zurndorf_IV, Anlage 1",-,---,1,1500,WT1566,2001,47.967255,16.992567,-,Windtec,65,66,"Zurndorf IV, Anlage 1",Zurndorf_IV,8,99
"Mönchhof,_Anlage 1",Windpark Mönchhof GmbH,---,5,2e3,V80,2001,47.898509,16.959921,NA,Vestas,100,80,"Mönchhof, Anlage 1",Mönchhof,9,100
"Mönchhof,_Anlage 2",Windpark Mönchhof GmbH,---,5,2e3,V80,2001,47.902967,16.952137,NA,Vestas,100,80,"Mönchhof, Anlage 2",Mönchhof,10,95
"Mönchhof,_Anlage 3",Windpark Mönchhof GmbH,---,5,2e3,V80,2001,47.903501,16.958135,NA,Vestas,100,80,"Mönchhof, Anlage 3",Mönchhof,11,100
"Mönchhof,_Anlage 4",Windpark Mönchhof GmbH,---,5,2e3,V80,2001,47.899166,16.964744,NA,Vestas,100,80,"Mönchhof, Anlage 4",Mönchhof,12,95
"Mönchhof,_Anlage 5",Windpark Mönchhof GmbH,---,5,2e3,V80,2001,47.894525,16.969702,NA,Vestas,100,80,"Mönchhof, Anlage 5",Mönchhof,13,99
"Prellenkirchen_II, Anlage 1",-,---,5,1800,E66 18.70,2002,48.060338,16.927985,-,Enercon,65,70,"Prellenkirchen II, Anlage 1",Prellenkirchen_II,14,100
"Prellenkirchen_II, Anlage 2",-,---,5,1800,E66 18.70,2002,48.059239,16.924914,-,Enercon,65,70,"Prellenkirchen II, Anlage 2",Prellenkirchen_II,15,99
"Prellenkirchen_II, Anlage 3",-,---,5,1800,E66 18.70,2002,48.057307,16.922812,-,Enercon,65,70,"Prellenkirchen II, Anlage 3",Prellenkirchen_II,16,100
"Prellenkirchen_II, Anlage 4",-,---,5,1800,E66 18.70,2002,48.063767,16.927689,-,Enercon,65,70,"Prellenkirchen II, Anlage 4",Prellenkirchen_II,17,100
"Prellenkirchen_II, Anlage 5",-,---,5,1800,E66 18.70,2002,48.061462,16.933364,-,Enercon,65,70,"Prellenkirchen II, Anlage 5",Prellenkirchen_II,18,100
"Steiglberg,_Anlage 1",-,---,1,2e3,V80,2002,48.095791,13.356059,-,Vestas,100,80,"Steiglberg, Anlage 1",Steiglberg,19,95
"Neusiedl/Zaya,_Anlage 1",evn naturkraft Erzeugungsgesellschaft m.b.H,---,5,1800,E66 18.70,2002,48.596532,16.761231,www.evn-naturkraft.at,Enercon,86,70,"Neusiedl/Zaya, Anlage 1",NeusiedlZaya,20,95
"Neusiedl/Zaya,_Anlage 2",evn naturkraft Erzeugungsgesellschaft m.b.H,---,5,1800,E66 18.70,2002,48.594995,16.758507,www.evn-naturkraft.at,Enercon,86,70,"Neusiedl/Zaya, Anlage 2",NeusiedlZaya,21,100
"Neusiedl/Zaya,_Anlage 3",evn naturkraft Erzeugungsgesellschaft m.b.H,---,5,1800,E66 18.70,2002,48.599253,16.762339,www.evn-naturkraft.at,Enercon,86,70,"Neusiedl/Zaya, Anlage 3",NeusiedlZaya,22,95
"Neusiedl/Zaya,_Anlage 4",evn naturkraft Erzeugungsgesellschaft m.b.H,---,5,1800,E66 18.70,2002,48.593549,16.755729,www.evn-naturkraft.at,Enercon,86,70,"Neusiedl/Zaya, Anlage 4",NeusiedlZaya,23,100
"Neusiedl/Zaya,_Anlage 5",evn naturkraft Erzeugungsgesellschaft m.b.H,---,5,1800,E66 18.70,2002,48.59267,16.752536,www.evn-naturkraft.at,Enercon,86,70,"Neusiedl/Zaya, Anlage 5",NeusiedlZaya,24,100
"Neusiedl,_Anlage 1",Energie Burgenland Windkraft GmbH,---,18,1800,E66 18.70,2003,47.959017,16.883703,www.energieburgenland.at,Enercon,86,70,"Neusiedl, Anlage 1",Neusiedl,25,99
"Neusiedl,_Anlage 2",Energie Burgenland Windkraft GmbH,---,18,1800,E66 18.70,2003,47.956774,16.903812,www.energieburgenland.at,Enercon,86,70,"Neusiedl, Anlage 2",Neusiedl,26,99
"Neusiedl,_Anlage 3",Energie Burgenland Windkraft GmbH,---,18,1800,E66 18.70,2003,47.957868,16.909858,www.energieburgenland.at,Enercon,86,70,"Neusiedl, Anlage 3",Neusiedl,27,100
"Neusiedl,_Anlage 4",Energie Burgenland Windkraft GmbH,---,18,1800,E66 18.70,2003,47.961487,16.903751,www.energieburgenland.at,Enercon,86,70,"Neusiedl, Anlage 4",Neusiedl,28,100
"Neusiedl,_Anlage 5",Energie Burgenland Windkraft GmbH,---,18,1800,E66 18.70,2003,47.953002,16.890762,www.energieburgenland.at,Enercon,86,70,"Neusiedl, Anlage 5",Neusiedl,29,95
"Neusiedl,_Anlage 6",Energie Burgenland Windkraft GmbH,---,18,1800,E66 18.70,2003,47.956659,16.896288,www.energieburgenland.at,Enercon,86,70,"Neusiedl, Anlage 6",Neusiedl,30,40
"Neusiedl,_Anlage 7",Energie Burgenland Windkraft GmbH,---,18,1800,E66 18.70,2003,47.960239,16.900169000000002,www.energieburgenland.at,Enercon,86,70,"Neusiedl, Anlage 7",Neusiedl,31,60
"Neusiedl,_Anlage 8",Energie Burgenland Windkraft GmbH,---,18,1800,E66 18.70,2003,47.960049,16.894206,www.energieburgenland.at,Enercon,86,70,"Neusiedl, Anlage 8",Neusiedl,32,60
