X,Y,POT_MW,ALT_TOTAL,ALT_TORRE,DIAM_ROTOR,CRIADOR,DATA_CRIAC,ATUALIZADO,DATA_ATUAL,EOL_VERSAO,NOME_EOL,DEN_AEG,VERSAO_ATU,DATUM,FUSO,X_1,Y_1,OPE_COM,PROPRIETAR,CEG,Datum_1,Fuso_1,Operacao,latitude,Long,Lat,Park,KW,id,quality
-42.565050034,-14.117923087,1.68,122,80,82.5,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,531,Dos Araçás,ARA-08,1,1,23,762887.697982,8437868.77281,1,Centrais Eólicas dos Araçás S.A.,EOLCVBA030495-6-01,SIRGAS 2000,UTM 23S (MER -45),SIM,-14,-42.565050034,-14.117923087,Dos Araçás,1680,1,100
-35.9055875609999,-5.27412969899996,2,139,98,82,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,85,Santa Clara III,SC-III-05,1,1,25,177903.91,9416282.48,1,Santa Clara III Energias Renováveis Ltda.,EOLCVRN030293-7-01,SIRGAS 2000,UTM 25S (MER -33),SIM,-5,-35.905587561,-5.274129699,Santa Clar,2e3,2,100
-42.489959,-14.18739,2,123,78,90,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,255,Caetité 1,AEG 13,1,1,23,770917,8430090,1,Caetité 1 Energia Renovável S.A.,EOLCVBA030976-1-01,SIRGAS 2000,UTM 23S (MER -45),SIM,-14,-42.489959,-14.18739,Caetité 1,2e3,3,100
-36.745946449,-8.1857888499999,2,160,105,110,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,585,Ouro Branco 2,8,1,1,24,748343,9094467,2,Eólica Ouro Branco 2 S.A.,EOLCVPE031808-6-01,SIRGAS 2000,UTM 24S (MER -39),NÃO,-8,-36.745946449,-8.18578885,Ouro Branc,2e3,4,0
-41.6044013329999,-10.718817106,2.5,148,90,116,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1590,Umburanas 21,UMB_21_08,1,1,24,215127,8813906,2,Centrais Eólicas Umburanas 16 Ltda.,EOLCVBA033636-0-01,SIRGAS 2000,UTM 24S (MER -39),NÃO,-11,-41.604401333,-10.718817106,Umburanas,2500,5,0
-36.632053475,-6.17274728899997,2.1,150,93,114,SGI_EDITOR_5,2019-01-29,SGI_EDITOR_5,2019-01-29,1623,Queimada I,AEG 6,1,1,24,762049,9317117,2,Phoenix Energias Renováveis Ltda.,EOLCVRN034498-2-01,SIRGAS 2000,UTM 24S (MER -39),NÃO,-6,-36.632053475,-6.172747289,Queimada I,2100,6,0
-41.316210425,-11.0991823379999,2.35,144,98,92,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1484,Serra da Babilônia XII,SDB-XII-A-01,1,1,24,246989,8772069,1,Eólica Serra da Babilônia XII S.A.,EOLCVBA032471-0-01,SIRGAS 2000,UTM 24S (MER -39),SIM,-11,-41.316210425,-11.099182338,Serra da B,2350,7,0
-41.556723311,-8.62753343399993,3,182.5,120,125,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1216,Aura Lagoa do Barro 3,ALB-3-07,1,1,24,218609,9045384,2,Lagoa do Barro III Energias Renováveis S.A.,EOLCVPI033619-0-01,SIRGAS 2000,UTM 24S (MER -39),NÃO,-9,-41.556723311,-8.627533434,Aura Lagoa,3e3,8,0
-41.4790392099999,-8.5252639299999,3,182.5,120,125,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1534,Ventos de Santa Angela 10,AN10-02,1,1,24,227091,9056757,2,Enel Green Power Ventos de Santa Ângela 10 S.A.,EOLCVPI033014-0-01,SIRGAS 2000,UTM 24S (MER -39),NÃO,-9,-41.47903921,-8.52526393,Ventos de,3e3,9,0
-36.895284311,-6.99817834699996,2.1,137,80,114,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1398,Chafariz 1,CHA 1.14,1,1,24,732520,9225932,2,Chafariz 1 Energia Renovável S.A.,EOLCVPB034639-0-01,SIRGAS 2000,UTM 24S (MER -39),NÃO,-7,-36.895284311,-6.998178347,Chafariz 1,2100,10,0
