,0,1,2,3,4
0,2.81,49.837,[0.00977932],2.81_49.837.tif,Ablaincourt-Pressoir
1,2.81,49.844,[0.00204878],2.81_49.844.tif,Ablaincourt-Pressoir
2,2.81,49.83,[0.0030399],2.81_49.83.tif,Ablaincourt-Pressoir
3,2.8114,49.837,[0.00359833],2.8114_49.837.tif,Ablaincourt-Pressoir
4,2.8114,49.844,[0.0033547],2.8114_49.844.tif,Ablaincourt-Pressoir
5,2.8114,49.83,[0.00411137],2.8114_49.83.tif,Ablaincourt-Pressoir
6,2.8128,49.844,[0.0031513],2.8128_49.844.tif,Ablaincourt-Pressoir
7,2.8128,49.837,[0.00140518],2.8128_49.837.tif,Ablaincourt-Pressoir
8,2.8128,49.83,[0.00173864],2.8128_49.83.tif,Ablaincourt-Pressoir
9,2.8142,49.837,[0.00135169],2.8142_49.837.tif,Ablaincourt-Pressoir
10,2.8142,49.844,[0.0980399],2.8142_49.844.tif,Ablaincourt-Pressoir
11,2.8142,49.83,[0.00152982],2.8142_49.83.tif,Ablaincourt-Pressoir
12,2.8156,49.837,[0.00151374],2.8156_49.837.tif,Ablaincourt-Pressoir
13,2.8156,49.844,[0.12350151],2.8156_49.844.tif,Ablaincourt-Pressoir
14,2.8156,49.83,[0.00097839],2.8156_49.83.tif,Ablaincourt-Pressoir
15,2.817,49.837,[0.00272262],2.817_49.837.tif,Ablaincourt-Pressoir
16,2.817,49.844,[0.00143403],2.817_49.844.tif,Ablaincourt-Pressoir
17,2.817,49.83,[0.0009134],2.817_49.83.tif,Ablaincourt-Pressoir
18,2.8184,49.837,[5.1233266e-05],2.8184_49.837.tif,Ablaincourt-Pressoir
19,2.8184,49.844,[0.00151293],2.8184_49.844.tif,Ablaincourt-Pressoir
20,2.8184,49.83,[0.00088469],2.8184_49.83.tif,Ablaincourt-Pressoir
21,2.8198,49.837,[4.4206755e-10],2.8198_49.837.tif,Ablaincourt-Pressoir
22,2.8198,49.844,[0.00298878],2.8198_49.844.tif,Ablaincourt-Pressoir
23,2.8198,49.83,[0.00069964],2.8198_49.83.tif,Ablaincourt-Pressoir
24,2.8212,49.837,[0.00014254],2.8212_49.837.tif,Ablaincourt-Pressoir
25,2.8212,49.844,[0.00379182],2.8212_49.844.tif,Ablaincourt-Pressoir
26,2.8212,49.83,[0.00060079],2.8212_49.83.tif,Ablaincourt-Pressoir
27,2.8226,49.837,[0.00052491],2.8226_49.837.tif,Ablaincourt-Pressoir
28,2.8226,49.844,[0.00212157],2.8226_49.844.tif,Ablaincourt-Pressoir
29,2.8226,49.83,[0.00067036],2.8226_49.83.tif,Ablaincourt-Pressoir
30,2.824,49.837,[0.00147494],2.824_49.837.tif,Ablaincourt-Pressoir
31,2.824,49.83,[0.0016946],2.824_49.83.tif,Ablaincourt-Pressoir
32,2.824,49.844,[0.00025436],2.824_49.844.tif,Ablaincourt-Pressoir
33,2.8254,49.837,[0.00245019],2.8254_49.837.tif,Ablaincourt-Pressoir
34,2.8254,49.844,[0.00062809],2.8254_49.844.tif,Ablaincourt-Pressoir
35,2.8254,49.83,[6.1239036e-05],2.8254_49.83.tif,Ablaincourt-Pressoir
36,2.8268,49.837,[0.00943772],2.8268_49.837.tif,Ablaincourt-Pressoir
37,2.8268,49.844,[0.00063641],2.8268_49.844.tif,Ablaincourt-Pressoir
38,2.8268,49.83,[3.400362e-09],2.8268_49.83.tif,Ablaincourt-Pressoir
39,2.8282,49.837,[0.00090357],2.8282_49.837.tif,Ablaincourt-Pressoir
40,2.8282,49.844,[0.00096297],2.8282_49.844.tif,Ablaincourt-Pressoir
41,2.8282,49.83,[0.00014044],2.8282_49.83.tif,Ablaincourt-Pressoir
42,2.8296,49.837,[2.1564249e-07],2.8296_49.837.tif,Ablaincourt-Pressoir
43,2.8296,49.844,[0.00048347],2.8296_49.844.tif,Ablaincourt-Pressoir
44,2.8296,49.83,[0.0098898],2.8296_49.83.tif,Ablaincourt-Pressoir
45,2.831,49.837,[0.0003301],2.831_49.837.tif,Ablaincourt-Pressoir
46,2.831,49.844,[1.2861774e-05],2.831_49.844.tif,Ablaincourt-Pressoir
47,2.831,49.83,[0.0023077],2.831_49.83.tif,Ablaincourt-Pressoir
48,2.8324,49.837,[0.00059767],2.8324_49.837.tif,Ablaincourt-Pressoir
49,2.8324,49.83,[0.0022739],2.8324_49.83.tif,Ablaincourt-Pressoir
50,2.8324,49.844,[0.00014108],2.8324_49.844.tif,Ablaincourt-Pressoir
51,2.8338,49.83,[0.00273929],2.8338_49.83.tif,Ablaincourt-Pressoir
52,2.8338,49.837,[0.000611],2.8338_49.837.tif,Ablaincourt-Pressoir
53,2.8338,49.844,[0.00167697],2.8338_49.844.tif,Ablaincourt-Pressoir
54,2.8352,49.83,[0.0032808],2.8352_49.83.tif,Ablaincourt-Pressoir
55,2.8352,49.837,[0.02287387],2.8352_49.837.tif,Ablaincourt-Pressoir
56,2.8352,49.844,[0.00187242],2.8352_49.844.tif,Ablaincourt-Pressoir
57,2.8366,49.83,[0.00828561],2.8366_49.83.tif,Ablaincourt-Pressoir
58,2.8366,49.837,[0.00555786],2.8366_49.837.tif,Ablaincourt-Pressoir
59,2.838,49.844,[0.00163144],2.838_49.844.tif,Ablaincourt-Pressoir
60,2.838,49.83,[0.01503834],2.838_49.83.tif,Ablaincourt-Pressoir
61,2.838,49.837,[0.00140871],2.838_49.837.tif,Ablaincourt-Pressoir
62,2.8394,49.844,[0.00171906],2.8394_49.844.tif,Ablaincourt-Pressoir
63,2.8394,49.83,[0.00684269],2.8394_49.83.tif,Ablaincourt-Pressoir
64,2.8394,49.837,[0.00116423],2.8394_49.837.tif,Ablaincourt-Pressoir
65,2.81,49.8454,[0.00190047],2.81_49.8454.tif,Ablaincourt-Pressoir
66,2.81,49.8314,[0.0023624],2.81_49.8314.tif,Ablaincourt-Pressoir
67,2.81,49.8384,[0.00867419],2.81_49.8384.tif,Ablaincourt-Pressoir
68,2.8114,49.8454,[0.00179166],2.8114_49.8454.tif,Ablaincourt-Pressoir
69,2.8114,49.8314,[0.00080735],2.8114_49.8314.tif,Ablaincourt-Pressoir
70,2.8114,49.8384,[0.00566785],2.8114_49.8384.tif,Ablaincourt-Pressoir
